title,description,tokens
Accessing Purchased Digital Products,"Once a customer has purchased a digital product, they can access the content from their account. The customer can log in to their account and navigate to their ""Files"" section to download the purchased file or access the restricted content. Customers can access their purchased digital products at any time, making the process convenient and user-friendly.",56
Best Practices for Selling Digital Products,"When selling digital products, consider the following best practices: 1) Ensure your store setup is optimized for selling digital products, including appropriate cart and checkout settings; 2) Clearly describe the digital product and its features to help customers understand what they are purchasing; 3) Offer upselling and cross-selling opportunities to increase sales; 4) Maintain a secure environment for digital files, ensuring customer trust in your store.",66
Managing Digital Product Inventory and Promotions,"Although tracking inventory for digital products is not always necessary, using the inventory tracking feature can help create a sense of urgency for promotional purposes. For example, you can set a limited number of digital copies available during a promotion, encouraging customers to make a purchase quickly. Keep in mind that you cannot have variations for digital products, so plan your promotions accordingly.",63
Restricted Content Access for Members,"When selling digital products that grant access to restricted content, make sure that only customers who have purchased the content can access it. CloudCart's platform ensures that restricted content is only accessible to customers who have paid for it, providing a seamless experience for both merchants and customers.",48
Customer Download Access,"Once the digital product file and order are complete, customers can download the file directly from their account. They will also receive information about the order, including access to an invoice (if invoicing is enabled) and information about the order status.",41
Disabling Email Templates,"If you prefer not to send certain information to customers, you can go to Marketing > Omnichannel > Email Templates and turn off specific email templates. This way, customers will only receive information relevant to downloading the files.",38
Membership Access and Paid Content,"CloudCart offers membership access for paid content, ideal for online coaches, courses, and presentations. This content can be set up with limited or unlimited access, depending on your preference. To get started, go to Applications and search for the Membership App, which is a paid application. Install the app to enable the selling of digital content online.",57
Creating a Digital Product with Membership Access,"After installing the Membership App, return to the Products section and select a specific product to be digital. This time, the digital product type will be 'Page.' Before proceeding, prepare your pages by going to Marketing > Landing Pages. Create a new page and mark it as 'Private,' so it is accessible only for specific users. The private pages will be available for selection under the product options.",68
Setting Access Duration,"When setting up the digital product, specify the number of days the pages will be accessible for customers after a successful purchase. For example, if you set it to 15 days, customers will have access to the content for that duration.",41
Membership App Email Template,"Upon installing the Membership App, a new email template named ""Send Access to Pages"" will be added. This template informs customers when access to restricted content is granted and includes a link to the specific pages. Be sure to review and customize this email template as needed.",47
Purchasing and Accessing Paid Content,"When a customer purchases a product with restricted access, they will receive an email with access information and links to the pages. Customers can also access the paid content directly from their account by clicking on ""Paid Content."" This option is available as long as their access is active.",49
Subscription Management,"With the Membership App installed, a new menu option named ""Subscriptions"" will be available under the Orders menu. Here, you can view and manage subscriptions for specific customers, including information about the subscription's duration and accessibility, and the pages included in the subscription.",43
Product Listing Page,"The Product Listing Page serves as your central hub for viewing and managing your entire product catalog. From this page, you have access to various tools and features that allow you to efficiently manage your inventory, such as filtering options, search functionality, and bulk actions. Additionally, you can view essential information for each product, such as SKU, price, and stock levels.",61
Advanced Filtering and Searching,"CloudCart offers a range of advanced filtering options that enable you to refine your product list based on multiple criteria. You can apply filters for categories, brands, price range, stock status, and more. Additionally, CloudCart's search functionality allows you to find products quickly by keyword, SKU, product name, description, or barcode. The platform also supports searching for products with specific attributes or custom fields, ensuring that you can locate and manage any item within your inventory with ease.",78
Bulk Actions and Tools,"The Bulk Actions feature in CloudCart allows you to perform actions on multiple products simultaneously, streamlining your product management process. To access this feature, navigate to the Tools menu, which becomes available once you have selected specific products or all products on a page. From here, you can apply various actions to the selected items, such as updating prices, adjusting stock levels, modifying product visibility, and more. You can also create custom bulk actions using CloudCart's API for even greater control over your inventory management.",85
Introduction to Product Statuses,Product statuses in CloudCart are used to manage the availability of products on your online store. There are two default product statuses: In Stock and Out of Stock. These statuses help merchants manage their product inventory and display the availability of products to customers accordingly.,45
Setting Up Default Product Statuses,"To set up default product statuses for your store, create two major statuses: In Stock and Out of Stock. The In Stock status should show the ""Buy"" button for products with a quantity greater than zero, while the Out of Stock status should hide the ""Buy"" button for products with a quantity of zero or less. You can also enable the ""Continue Selling"" option to allow customers to place orders even if the quantity is zero.",76
Adding Custom Product Statuses,"You can add custom product statuses, such as ""Pre-Order,"" to your store. Make sure they don't overlap with your default product statuses. When creating a new custom status, you can leave conditions unspecified, or you can select conditions that don't overlap with other product statuses. Once you've added custom product statuses, you need to map the default In Stock and Out of Stock statuses in the system. This ensures that the platform uses the default statuses for all products, except those that you manually assign a custom status.",88
Manually Assigning Product Statuses,"You can manually assign specific product statuses to individual products. To do this, navigate to the product edit page and select the desired In Stock and Out of Stock statuses for that product. Manually added product statuses have higher priority in the system and will be displayed on the product page. For example, you can assign a ""Pre-Order"" status to a product that doesn't have a quantity yet but will be available at a later stage.",76
Using Actions for Product Management,"Actions in CloudCart provide useful tools for managing your products. These actions include duplicating a product, previewing a product, embedding a product on an external website, and generating a checkout link for a product. To duplicate a product, click the ""Duplicate"" action. To preview a product, click the ""Preview"" action. To embed a product on an external website, select the ""Embed"" action, choose a template, customize the appearance, and generate the code to be embedded. To generate a checkout link, click the ""Checkout Link"" action and copy the link. You can then share this link with customers through chat, email, or messenger applications.",103
Using Checkout Links,"When you share a checkout link with a customer, it adds the specified product to their cart and directs them to the checkout page. If the customer already has items in their cart, the checkout link will add the new product to their existing cart without starting over. Keep in mind that the generated checkout link will only add one quantity of the product to the customer's cart, so they may need to adjust the quantity to meet any minimum order requirements you've set.",84
Additional Actions for Products,"In addition to setting up product statuses and adjusting quantities, CloudCart offers several other actions to help manage your products. These actions include duplicating a product, previewing the product page, embedding a product on an external website, and generating a checkout link for direct purchase. Duplicating a product creates a copy of the original product, excluding its images. Previewing the product page allows you to see how the product will appear on your website. Embedding a product on an external website involves generating a code that can be copied and pasted into another site, where the product and its add-to-cart functionality will be displayed. The checkout link feature generates a direct link to add the product to a customer's cart, which can be shared via chat, email, or other messaging applications. This allows for a quicker purchasing process, as customers can directly add the product to their cart and proceed to checkout.",152
Utilizing the Short Number Field,"The short number field allows you to assign a specific position to a product in the product listing. By entering a numerical value in this field, you can dictate the order in which products appear when customers browse through a product category containing multiple items. This feature enables you to strategically place products, enhancing visibility and potentially driving sales.",59
Adjusting Sort Settings,"To ensure your product listing adheres to the specified short number order, you must modify the sort settings within the store. This step is crucial, as it allows the platform to recognize and display the products according to their assigned positions.",41
Hidden Products and Visibility,"If a product is not visible in the product category page, it may be marked as hidden. Hidden products will not appear in the listing, so to make them visible, you must change the product's visibility settings.",37
Short Number Field: Zero Considerations,"When using the short number field, it's important to understand that the value '0' is treated differently. The platform interprets '0' as a larger number than any other value entered, so avoid using it as a sorting order. Instead, utilize numbers ranging from 1 to 2,000 or more, ensuring your products are displayed in the desired order.",57
Adding a New Product,"To add a new product to your CloudCart store, navigate to the product management interface, and click on the ""Add New Product"" button. This will open a form where you can enter all the necessary information about the product, such as its name, price, and inventory status.",47
Brand and Vendor Selection,"For each product, you can specify the brand and vendor. This information will allow customers to filter the catalog by the manufacturer or maker of a product. You can either select a vendor from a pre-existing list or create a new vendor by typing in their name.",47
Tags,"You can add tags to your products and choose from pre-defined tags or create new ones. Tags can be used to create relationships between products, such as pairing socks with shoes. This feature can be used to display related products at the bottom of a product detail page, based on similar tags. Tags can also be used for upselling by displaying products that complement each other, such as a TV stand for a 32-inch television.",75
Product Dimensions and Shipping Information,"When entering product details, you can input the dimensions of the product. These dimensions are used for calculating shipping costs with courier services and will not be displayed on the storefront. It is important to note that these dimensions are for shipping purposes only and should not be expected to appear on the product page for customers to view or filter.",61
SEO Configuration,"In the product editor, you can configure the SEO title and description for each product. These settings help improve the visibility of your products on search engines. If you enter a description for your product, an SEO meta description will be generated automatically. You can edit this information to create a more tailored and optimized description for search engines. It is crucial to have an SEO-optimized product page to ensure better visibility on search engines and increase the chances of attracting potential customers.",83
Image and Multimedia Manager,"CloudCart's multimedia manager allows you to upload images, 360-degree images, and videos directly from YouTube to showcase your products. The platform will automatically compress and optimize images for fast loading and better performance. You can add up to 36 images for a 360-degree view of a product, creating an interactive experience for customers. You can also drag and drop images from your local storage for easy uploading. The multimedia manager supports managing multiple images, deleting them, and even setting a YouTube video as the main media for a product.",89
Publishing a Product,"Once you have entered all the necessary product information, you can publish the product online. You have the option to schedule the product's publication for a later date or set an expiration date for the product to be automatically unpublished. After publishing the product, you can use the shortcut provided in the product editor to view the product detail page on your storefront.",63
Short Description Field,"In the product editor, you can add a short description for each product by clicking the ""Short Description"" button. This field is not mandatory but can be used to provide a brief overview of the product or highlight specific features. This field supports HTML code, allowing you to add images, icons, or other visual elements to enhance the product presentation. It is important to create a visually appealing and informative product page to engage customers and encourage them to make a purchase.",82
360-Degree Images,"Adding 360-degree images to a product can provide a more immersive and interactive experience for customers, giving them the impression of viewing a 3D model of the product. To create a 360-degree image, users can upload up to 36 different perspective images. In the storefront, customers can manipulate and rotate the final image for a smoother viewing experience.",58
Introduction to Product Configuration,"When configuring a product in CloudCart, it's essential to understand the various settings and attributes involved. These settings help manage inventory, track sales, and provide customers with accurate information about the products they're purchasing.",34
Choosing Product Type,"First, determine if the product you're configuring is a physical or digital product. Physical products require shipping and handling, while digital products involve uploading a file that customers will receive upon purchase. Physical products are more commonly sold on CloudCart, but digital products offer an easy alternative for certain sellers.",50
Configuring Shipping Settings,"For physical products, enable the Require Shipping setting. This allows you to input the product's weight, which is crucial for calculating shipping costs with courier services. Accurate weight information helps customers understand the total cost of their purchase, including shipping fees.",41
Inventory Management,"Enable the Track Inventory setting to monitor the quantity of products you have in stock. When inputting quantities that include decimals, remember to use a point (.) instead of a comma (,) to avoid confusion. This setting ensures that your inventory numbers are accurate and up-to-date.",46
Continuous Selling Option,Enable the Continuous Selling setting if your product can be restocked or produced on-demand. This setting allows customers to continue purchasing the product even when the inventory reaches zero. It's especially helpful for sellers who create their own products or can easily restock items.,44
Low Stock Notifications,"To receive notifications when a product's inventory is running low, set a Low Quantity Threshold. When the product's quantity reaches the specified number, you'll receive a notification alerting you that the product is almost out of stock. This helps you stay informed about your inventory levels and plan for restocking.",50
Minimum Purchase Quantity,"Set a Minimum Quantity if you want to require customers to purchase a certain amount of a product. Customers can add smaller quantities to their cart, but they won't be able to complete the checkout process until they meet the minimum quantity requirement. This feature helps increase average order value and may be useful for bulk sales or promotional offers.",60
Product Identifiers: SKU and Barcode,"Choose an identifier for your product, either an SKU (Stock Keeping Unit) or a barcode. SKUs are typically used for tracking inventory with warehouse software, while barcodes are often provided by the product's manufacturer. Both identifiers help manage inventory and track product sales.",43
Understanding Product Statuses,"Product statuses help you manage inventory and sales by providing vital information about product availability. Familiarize yourself with these statuses to ensure that your product listings are accurate and up-to-date, ultimately improving the customer experience on your CloudCart store.",39
Basic Features,"Today, I'm going to review with you several basic features integrated into the Multilingual application. You can expect functionalities such as creating a brand new language version which actually creates a brand new store, copying the design, copying the navigation, copying pages created with the page builder, copying blog posts and categories, and copying the entire product catalog.",58
Advanced AI Translation,"On top of these features, our merchants will be able to translate every single bit of text from the main store to the target language of the language version with advanced AI technology, thanks to our partners from Google. The translation quality is really good, especially for basic information such as colors or short descriptions.",55
Store Settings and Translations,"Make sure that your content is equal to your store settings in order to expect great results. We charge our merchants per processed character. If the character is not translatable, it doesn't mean that it is not processed. Every single character that is processed will be charged.",47
Accessing the Multilingual App,You can find the application from the App Store. Install the Multilingual App and follow the configuration steps to create a new language version.,24
Creating a New Language Version,"From the app, add a language version related to your main business. This language version will copy the information from the main store. Select your desired target language and follow the steps to complete the configuration.",36
Copying and Translating Elements,"In the app, enable copying and translation for various elements such as design, menu, blocks, and pages. Note that design cannot be translated and pages built with the page builder will not be translated.",34
Translating Product Catalog,"Select which elements of the product catalog you want to be translated, such as product names, descriptions, categories, and image alternative texts.",22
Adjusting Prices for Language Version,"When copying prices from the main store to the language version store, you have the option to multiply the prices by a specific factor or set the decimals to a specific value for marketing purposes.",35
Choosing a Subscription Plan,"Choosing a subscription plan from here gives our merchants an additional discount on the pricing because they are creating an additional subscription for a language version. This is a huge benefit, as they get an additional discount for creating their additional language version.",43
CloudCart Synchronizer,"We highly recommend using CloudCart Synchronizer, which is a huge advantage. This application synchronizes product quantities from the main store to the language version store. If merchants prefer two-way communication for the synchronization of quantities, they must purchase CloudCart Synchronizer additionally for the language version store to push data to the main store.",53
Confirmation Page and Tracking Progress,"On the confirmation page, you can see your plan, copying information, and fees for copying and AI translation. Once you pay, you will be redirected to the tracking progress page, where you can see the progress of the application. The translation process depends on the volume of characters and sentences that need to be translated. If there are millions of characters, the translation process could take hours.",67
Storefront Language Settings,"The flags displayed on your store represent the storefront language. No matter what the language version of the channel is, the flags are a representation of the storefront language. When you click on a flag, you will be redirected to the general settings of the corresponding language store.",48
Additional Settings,"In the additional settings, you can find options for copying newly added products from your main store to the language version, translating them, and copying pricing information. You can also set the price rounding and choose an approval method for the newly added products (manual or automatic). There is also an option for automatic deletion of products deleted from the main store, which helps keep your product catalogs tidy across different languages. Pay attention that additional services must be purchased for these settings to work. If you don't have enough funds or tokens for these services, you won't be able to take advantage of these options.",106
Language Switcher,"Enabling the language switcher option will display a switcher on your store's homepage, allowing customers to switch between different languages. The switcher can be configured from the additional settings.",29
CloudCart's Marketing Focus,"CloudCart is one of the most advanced e-commerce platforms on the market, enabling our customers to use marketing tools to drive more traffic and engage with more customers. Our company's core philosophy is to help our merchants drive more sales, get more traffic, and convert more users into customers. Because of this, we focus our efforts on building more marketing tools.",61
Marketing Tools Available,"At CloudCart, you can find more marketing tools than any other marketing platform that is e-commerce oriented, and vice versa. In other words, we have tons of features for marketing. We offer more than 10 types of discounts with over 100 options to create different discounts at scale without needing to do it manually. Our platform includes up-sales, cross-sales, down-sales, landing pages, sales funnels, and campaigns that enable you to contact your customers at scale through an automated process. Additionally, we have trigger-based emails with contextual content that will be delivered to every single customer who takes any action at your store. We also offer bundles and many other marketing tools to help you succeed.",115
Importance of SEO,"Search engine optimization is vital for our customers because most websites receive 60-70% of their traffic through search engines like Google, Bing, Yahoo, Yandex, Baidu, etc. By using CloudCart's search engine friendly tools and features, you can achieve more organic search traffic, also known as ""free traffic.""",47
Controlling Robots,"One of the primary purposes of SEO is to control the robots (like Googlebot) that crawl your website. There are two main aspects to this: controlling the robots and managing the content on your website. With CloudCart, you can easily manage the robots through the robots.txt file and the sitemap.xml file.",51
Robots.txt,The robots.txt file lives on each website and tells robots which pages they can visit and which they cannot. This file is essential for SEO because it helps prevent search engines from indexing low-quality or irrelevant pages on your website. CloudCart has a built-in robots.txt file that you can control through the marketing settings of the platform.,57
Sitemap.xml,"The sitemap.xml file works alongside the robots.txt file to show search engines which pages they should visit. By creating a sitemap.xml file, you can ensure that search engines only index the most important pages on your website, such as product pages, categories, and contact pages. CloudCart has a built-in sitemap.xml file that you can control through the marketing settings of the platform.",62
Canonical Tag,"The canonical tag is another essential tool for controlling the robots and avoiding duplicate content on your website. This tag tells search engines that a specific page is a copy or child page of another, more important page. This helps to prevent search engines from indexing multiple versions of the same page, which can lead to lower rankings. CloudCart has built-in canonical tags for product and category pages.",68
Using CloudCart's SEO Tools Responsibly,"It's important to note that CloudCart's SEO tools are powerful and should be used with caution. If you are not familiar with SEO best practices, it's a good idea to consult with a professional before making any significant changes to your website's settings. Misusing these tools can lead to your website being penalized or even banned by search engines.",59
Conclusion,"In conclusion, CloudCart offers a range of built-in SEO tools that can help you optimize your e-commerce website for search engines, leading to increased organic search traffic and improved visibility for your products and categories. By controlling the robots and managing the content on your website, you can ensure that your site ranks highly in search engine results, attracting more potential customers and ultimately driving more sales.",67
Understanding Filters and Dynamically Generated Pages,"Filters and dynamically generated pages often generate a lot of URLs that need to be crawled by search engine crawlers. To avoid being spammy to Google, it's crucial to restrict crawlers from accessing all of these pages. One way to do this is by adding ""no index, no follow"" tags to the HTML pages. This will prevent the pages from being indexed or crawled by search engine robots.",68
Controlling Indexing of Filtered and Sorted Pages,"To control the indexing of filtered and sorted pages, navigate to Marketing > Main SEO > Index Filtered and Sort Pages. Here, you can specify the number of parameters you want to be indexed by search engine crawlers. The default settings are optimized for best results, but you can play around with the numbers if you know what you're doing. Remember, changing these settings without proper knowledge can negatively impact your website's search engine ranking.",75
301 Redirects and Controlling Robots,"The 301 redirect feature is essential when you want to delete a product or change a URL without losing search engine ranking. A 301 redirect tells search engine crawlers that the old URL has permanently moved to a new address. To set up a 301 redirect, go to the SEO section and click on ""Add Redirect."" You can choose a specific product or manually input the new URL. This feature is also helpful when migrating customers from old systems to CloudCart by importing redirects from a file.",87
Importance of 301 Redirects,"Using 301 redirects correctly can significantly impact your website's search engine ranking. They help maintain your ""crawler budget"" and ensure that search engine crawlers access the most relevant pages on your website. By implementing 301 redirects, you can seamlessly migrate customers from old systems to CloudCart without losing search engine ranking and maintaining the effectiveness of any existing online advertisements.",60
Croll Budget and Dessert Pages,"To help Google avoid spending too much time on unnecessary pages, we provide them with only the best content, referred to as the ""dessert"" pages. This is achieved by using various tools enabled by default in CloudCart.",37
Server Side Rendering,"Server side rendering is a complex, top-notch functionality found on CloudCart. It provides better visibility for search engines and a stable infrastructure to crawl without disturbing the user experience. Each CloudCart store has a separate environment for crawlers and humans, ensuring that customers can browse the website with ease, while crawlers can access the server-rendered copy of the website. This technique saves merchants time, energy, and server power, leading to a better browsing experience for real users.",77
Structured Data and Rich Snippets,"CloudCart utilizes structured data, also known as rich snippets, to make the website content more understandable to bots. This technology allows the presentation of information like product names, descriptions, URLs, brand names, offers, and more in a bot-readable format. CloudCart uses JSON-LD, which is Google's preferred format for structured data. This helps enhance search engine results with additional information like pricing and stock status.",64
Meta Information,"Meta information, which has been around for over 20 years, is used to provide information to robots that is not necessarily visible to human users. CloudCart allows users to edit meta information for products and pages. For products, the meta information can be edited under the SEO configuration section, while for pages, it can be found on the right-hand side of the page builder. If using a generic homepage, meta titles and descriptions can be specified under the marketing SEO section. This is where you can also edit meta information for the contact page, product section, product vendors, and blog section. Meta information helps search engines like Google understand and display the content of your website more effectively.",118
SEO Spinner,"We have built something which is called an SEO spinner. This is something which is not available, it's not available even to you guys internally into the company. But it's something that we're playing around with. The idea here is to actually, you know, do a mass transition and change of the meta titles and descriptions with different variations and do a certain spinning of the text.",67
Product Sharing,"There is a functionality here for product share and you can specifically tell the system what type of things to share. When somebody is sharing a link of your website, there is the main image URL, which is used for sharing purposes.",42
Meta Tags Preview,"There's a small website called meta tags dot IO, where you can put in the URL and it shows you how it will look in Google, Facebook, Twitter, LinkedIn, and Pinterest, etc. It's free and can be used to show customers how their shares will look like.",47
RSS Feeds,"The RSS feeds, or Real Simple Syndication, is an information feed that usually blogs and news websites utilize in order to disperse all of the information or syndicate from a site to other systems that are ready to ingest this type of content. It's an old technology but still has certain purposes in SEO.",54
Accessing the Discount Section,"To access the discount section, navigate to the main menu and click on ""Marketing."" From there, you will find the ""Discount"" menu, which allows you to create, manage, and delete discounts for your store.",34
Viewing Discounts and Using Filters,"In the discount menu, you can view a list of all available and created discounts. To help you find specific discounts, use the search bar, apply filters, and sort by status. The status is essential to understand, as it determines when a discount is activated, deactivated, or reached its usage limit.",51
Adding a Global Discount,"To add a global discount, click on ""Add Discount."" You can choose from nine discount types, which offer more than 100 combinations. A global discount can be applied to your entire product catalog, specific categories, vendors, collections, or at the cart level. To set up a global discount, give it a name (e.g., ""Global discount for 10%"") and choose the discount target. You can apply the discount to a category and vendor combination, a collection, a vendor, a category, a specific product, or even at the cart level based on a minimum order amount. If you choose the ""For Each Product in Cart"" option, the discount will be applied individually to each product in the cart.",116
Limiting Discounts to Registered Users,"To limit a global discount to registered users only, select the ""Only for registered users"" option. This means the discount will be applied automatically, and customers do not need to enter a discount code manually.",35
Assigning Discounts to Customer Groups,"You can assign a global discount to specific customer groups by selecting the desired groups from the list. For example, you can apply a 10% discount only to customers in two particular groups. Additionally, you can customize the background and text colors for labels indicating which products are part of the promotion.",52
Displaying Discount Amount or Percentage,"When setting up a global discount, you can choose to display the discount amount (e.g., $10 off) or the percentage (e.g., 10% off) on your store. You can also choose not to change the display format.",36
Setting Date Ranges and Limits,"You can set a start and end date for your global discount. Timers can be displayed on each product to show the start and end date of the discount. Note that timers will only work if you have an expiration date set. You can also set limits on the number of times a global discount can be used (e.g., only the first 100 orders will receive the discount), or limit the number of times a customer can use the discount (e.g., each customer can use the discount only once).",89
Creating a Discount with a Promo Code,"To create a discount with a promo code, follow the same steps as for adding a global discount. The main difference is that a promo code needs to be generated or entered manually. You can choose from various promo code formats, including EAN-13, EAN-8, and Code 39 barcodes, to cater to different types of customer memberships. The promo code can be applied to all products, specific categories, vendors, collections, or at the cart level. To set usage limits for the promo code, you can define the number of total uses, or limit the number of times a customer can use it. You can also set a start and end date for the promo code, as well as configure it to be available only to registered users or specific customer groups.",130
Customizing the Promo Code Format,"When creating a discount with a promo code, you can choose the format of the code. You can customize the length, characters (alphanumeric, uppercase, lowercase, numbers only), and prefix or suffix to generate a unique code. Additionally, you can create a bulk set of promo codes with the same configuration, enabling you to generate codes for specific marketing campaigns, events, or customer groups.",63
Tracking Promo Code Usage,"In the discount section, you can view the usage statistics for each promo code. This data provides valuable insights, helping you understand the effectiveness of your marketing campaigns, the popularity of specific discounts, and the impact on your sales. You can also export the usage data as a CSV or Excel file for further analysis or reporting.",57
Managing Discounts and Promo Codes,"You can edit or delete existing discounts and promo codes by selecting the desired discount from the list and clicking the ""Edit"" or ""Delete"" button. When editing a discount or promo code, you can update its name, type, value, target, usage limits, start and end dates, customer groups, or other settings. Note that deleting a discount or promo code will permanently remove it from your system and cannot be undone.",70
Analyzing and Optimizing Discounts,"Regularly reviewing the performance of your discounts and promo codes can help you optimize your marketing strategy and increase sales. Analyze the usage data, conversion rates, and overall impact on revenue to identify trends and patterns. Based on your findings, adjust your discount strategy, experiment with different types of discounts, or target specific customer segments to maximize the effectiveness of your promotions.",62
Creating a Discount with Multiple Promo Codes,"With the multiple promo codes feature, you can create a system that offers a total of 50% discount, split into several promo codes. Customers can collect these promo codes and apply more than one at checkout until they reach the maximum 50% discount. This feature is great for games where you encourage customers to collect points, and they can accumulate these promo codes for future purchases. You can also target discounts on orders over a specific amount, dedicate discounts to specific groups, define regions, and specify date ranges for promo code validity.",92
Fixed Discounts,"Fixed discounts are useful for applying specific discounts to particular products or variations of products. After creating a container for the fixed discount, you can add products and their discounts on the fly automatically using API, XML, or CSV files. You can also apply discounts to specific product variations, making it flexible and customizable.",54
Visual Labels,"Visual labels allow you to apply a label or badge to specific products, either as text or as an image. This feature can help draw customers' attention to particular promotions, such as a summer or winter sale. You can customize the label's appearance and placement on the product image.",49
BOGO Offers,"BOGO (Buy One, Get One) offers allow you to create conditional discounts. For example, if a customer buys one unit of a product, they can get a second unit at a discounted rate, such as 50% or even 100% off. These offers encourage customers to purchase more items at a time to take advantage of the discount.",57
Quantity Discounts,"Quantity discounts provide tiered pricing based on the number of units purchased. For example, if a customer buys one unit, the price might be set at a certain amount, but if they purchase three or more units, the price per unit decreases. This encourages customers to buy in bulk to save money.",52
Countdown Discounts,"Countdown discounts create a sense of urgency for customers by offering a limited-time discount. Once a customer applies a promo code to their cart, a timer begins counting down. If the customer does not complete their purchase before the timer expires, the discount is removed. This feature can help minimize abandoned carts and increase conversion rates by encouraging customers to make quick purchase decisions.",64
BumpCart Overview,BumpCart helps merchants automatically determine the amount left for free shipping or other promotions and offers relevant products to fill the gap between the cart amount and the target amount for the promotion. This enables merchants to increase their AOV without any further action needed.,45
Installing and Enabling BumpCart,"To install the BumpCart application, follow the on-screen prompts. Note that the application is under construction and may have minor issues with text and visibility. However, the main functionality and concept remain the same. After installation, enable BumpCart within the application settings.",42
Targets and Actions,"In BumpCart, merchants can set up targets, which are amounts at the checkout that they want customers to reach. Actions determine how BumpCart will show products based on the target. Actions include filtering by category, manufacturer, product, or related products. Additionally, merchants can limit product selection to new, recommended, or featured products and sort products by price, date, rating, comments, or orders.",62
Target Amount Settings,"Merchants can set a target amount for the checkout, which BumpCart will use to determine what products to offer. For example, if the target amount is 200, BumpCart will not offer products once the cart reaches that amount. Merchants can also set a cap on the product price and limit the number of products displayed.",55
Actions Based on Targets,"BumpCart can display products based on various types of targets, such as a minimum order amount, free shipping thresholds, and orders over a specific amount. Merchants can create these targets within the marketing discount section of the CloudCart platform.",39
Customizing BumpCart Messages,"Merchants can customize the messages displayed by BumpCart, such as the title of the widget, the currency symbol, and the discount percentage. This allows merchants to tailor the messaging to their specific audience and promotions.",35
Order Products,"The Order Products menu allows you to see all the products purchased through specific orders. Here, you can access information like product variations, SKU, color, the order numbers the products are associated with, the price, and the quantity needed to prepare. Additionally, if a product has a supplier, you can see the supplier's information, supplier price, and supplier identifier. This feature simplifies the process of tracking products within orders, making it easier to manage your inventory.",76
Purpose of Order Products,"The Order Products feature is designed to help streamline the processes of fulfillment, warehouse management, and storage organization. With this feature, you can quickly see the exact products and quantities purchased in a specific timeframe. This information can be exported and printed, allowing you to efficiently pick the correct products and quantities from your storage or warehouse. This feature ultimately helps to speed up the process of picking, packing, and shipping goods, which is critical for online businesses.",78
Abandoned Carts,"The Abandoned Carts feature allows you to view shopping carts that have not been finalized, or orders that have not been completed. This information is useful for understanding customer behavior and identifying potential issues in the checkout process. The CloudCart platform automatically monitors each step of the customer journey and sends reminders to customers to finalize their orders. While the Abandoned Carts menu is primarily for informational purposes, it provides valuable insights into the customer experience.",76
Invoicing,"The Invoicing menu centralizes all invoicing-related information, making it easy to access and manage. Here, you can view details such as invoice numbers, order numbers, customers, and totals. Additionally, you have the option to view, print, or download individual invoices as PDFs. If you need to download all invoices for a specific month or time period, you can do so with ease. For stores with a large number of orders, you will be notified via email when your download link is available, ensuring that you can efficiently access your invoicing data.",91
Order Management,"Gaining a thorough understanding of order management within an online store is essential for successfully managing orders and providing excellent customer service. CloudCart offers automation processes, such as marking orders as complete when their status changes to paid and fulfilled, or automatically marking payouts as paid when fulfilled with specific carriers. These features help streamline your order management process, saving you time and effort.",64
Order Statuses,"The Settings menu allows you to access and customize order, shipping, and payment statuses. You can change the wording of these statuses or add new ones to create a tailored workflow that suits your internal processes. This feature enables you to establish a chain of processes based on specific statuses, improving communication and collaboration within your team. By customizing these statuses, you can ensure that your team has a clear understanding of each order's progress and can efficiently handle any issues that may arise.",84
Orders Management System,"Our orders management system allows merchants to process orders even faster. It features a quick view of the order, quick edit of the order, one-click status change, bill generation, automated email sending, and much more.",35
Filters and Search,"We offer various filters to help you narrow down the information specific to you as an operator. Additionally, our clever search feature allows you to search by SKU, product, order number, or anything related to orders, including customers.",38
Locking Mechanisms and Webhooks,Our system includes mechanisms like locking specific orders to minimize the chances of processing a single order by two operators. We also have integrated webhooks that are sent in real-time when processing orders.,33
Optimization and Scalability,"The main goal of our system is to optimize the process of managing orders, allowing our merchants to have a faster, scalable, and consistent way of operating and managing their orders. This, in turn, helps them increase revenue, expand their business, and manage data more effectively.",46
Navigating the Orders Menu,"The orders menu includes various submenus such as orders, subscriptions, ordered products, abandoned orders, and invoices.",16
Search and Filters,"You can search orders by SKU, barcode, product name, customer name, email, phone number, order ID, or invoice number. Additionally, you can create filters based on specific criteria and save them for later use or create tabs with predefined filters for quick access.",43
Listing and Quick Actions,"The listing displays order information, including the number of the order, customer name, address, date and time of the order, fulfillment courier, expected delivery date, order status, and total. The color-coded status and payment method indicators make it easy to identify specific order types. You can also view customer or administrator notes, archive or mark orders as completed, and quickly view or edit orders using the side panel.",68
Exporting Orders,"Export orders as a CSV file that can be opened in spreadsheet applications like Microsoft Excel or Google Sheets. This feature helps you analyze your orders and generate custom reports, giving you insights into your e-commerce business's performance. You can also choose which columns to export, and apply filters to export only specific order data.",55
Bulk Actions,"CloudCart offers bulk actions to help you manage multiple orders at once. You can select multiple orders and perform actions such as changing order status, adding tags, assigning to a fulfillment provider, or archiving orders. This feature streamlines the process and saves time when managing a large number of orders.",50
